frame_index,host_ts_ns,color_device_ts_ms,depth_device_ts_ms,fingertip_detected,fingertip_depth_valid,fingertip_depth_m,neighborhood_min_depth_m,neighborhood_max_depth_m,depth_reference_count,crop_x0,crop_y0
119,4646894347063,1789991196262.1091,1789991196267.5828,1,1,0.2643999933206942,0.25909999345458345,0.2700999931767001,7,708,481
120,4647044532540,1789991196463.606,1789991196469.0364,1,1,0.26559999329037964,0.2594999934444786,0.2706999931615428,6,711,483
121,4647108239694,1789991196497.305,1789991196502.7136,1,1,0.265899993282801,0.25999999343184754,0.2715999931388069,7,729,486
122,4647369722652,1789991196699.5662,1789991196704.8423,1,1,0.2675999932398554,0.26059999341669027,0.2715999931388069,8,729,484
123,4647401090949,1789991196733.2874,1789991196738.542,1,1,0.2673999932449078,0.26069999341416406,0.2729999931034399,7,758,483
124,4647725770639,1789991197036.923,1789991197041.9797,1,1,0.26869999321206706,0.2618999933838495,0.27339999309333507,7,795,483
125,4647942680602,1789991197340.308,1789991197345.08,1,1,0.26939999319438357,0.26299999335606117,0.27509999305038946,6,827,478
126,4648120142401,1789991197340.308,1789991197378.2449,1,1,0.269199993199436,0.26309999335353496,0.2756999930352322,6,830,473
127,4648153715595,1789991197540.924,1789991197545.6074,1,1,0.2698999931817525,0.2634999933434301,0.2763999930175487,7,829,474
128,4648232972134,1789991197574.4243,1789991197579.085,1,1,0.26969999318680493,0.26379999333585147,0.2769999930023914,7,848,474
129,4648342521974,1789991197808.9805,1789991197813.4863,1,1,0.2698999931817525,0.264499993318168,0.2770999929998652,6,853,472
130,4648439856068,1789991197842.4963,1789991197846.9802,1,1,0.27039999316912144,0.26409999332827283,0.2779999929771293,7,868,471
131,4648611532593,1789991198043.6316,1789991198047.9824,1,1,0.27029999317164766,0.26389999333332526,0.27689999300491763,8,874,478
132,4648708157631,1789991198077.161,1789991198081.4897,1,1,0.26879999320954084,0.26309999335353496,0.27739999299228657,6,896,472
133,4649074996425,1789991198544.934,1789991198548.885,1,1,0.27109999315143796,0.2659999932802748,0.2788999929543934,7,942,465
134,4649159124605,1789991198577.9258,1789991198581.855,1,1,0.27129999314638553,0.26549999329290586,0.28009999292407883,7,964,469
135,4649333858739,1789991198775.8403,1789991198779.6357,1,1,0.27209999312617583,0.2660999932777486,0.28059999291144777,6,969,466
136,4649406319521,1789991198808.82,1789991198812.5935,1,1,0.27189999313122826,0.26629999327269616,0.2810999928988167,7,985,465
137,4649495866177,1789991198808.82,1789991198845.5496,1,1,0.27279999310849234,0.2667999932600651,0.2810999928988167,7,985,466
138,4649522929487,1789991198808.82,1789991198878.5037,1,1,0.2729999931034399,0.2673999932449078,0.28149999288871186,6,986,464
139,4649545100820,1789991198940.7214,1789991198878.5037,1,1,0.2729999931034399,0.2673999932449078,0.28149999288871186,6,986,464
140,4649581930490,1789991198973.6924,1789991198977.355,1,1,0.2748999930554419,0.269199993199436,0.2820999928735546,8,986,464
141,4649862391605,1789991199204.4404,1789991199207.9478,1,1,0.277199992997339,0.27189999313122826,0.28409999282303033,7,1027,470
142,4649990774794,1789991199204.4404,1789991199471.3782,1,1,0.27849999296449823,0.2732999930958613,0.2827999928558711,8,1043,465
143,4650093992021,1789991199435.1033,1789991199471.3782,1,1,0.2788999929543934,0.2732999930958613,0.28309999284829246,8,1043,469
144,4650124222964,1789991199468.048,1789991199471.3782,1,1,0.27759999298723415,0.27269999311101856,0.28479999280534685,6,1069,471
